Import;ProFILE;NAME;Health Point;Exp Value;Norm DT;Norm DR;Las DT;Las DR;Fire DT;Fire DR;Plas DT;Plas DR;Elec DT;Elec DR;Expl DT;Expl DR
#;00000076.pro;Floating Eye Bot;60;275;4;30;6;75;4;10;4;20;0;0;4;25
#;00000077.pro;Sentry Bot;100;500;12;40;18;80;12;60;10;40;12;40;20;50
#;00000078.pro;Sentry Bot Mark II;120;600;13;50;19;90;14;70;13;50;13;50;20;60
#;00000079.pro;Robobrain;115;300;5;40;8;60;4;30;4;50;2;50;6;40
#;00000080.pro;Little Gecko;25;55;0;20;0;0;0;10;0;10;0;30;0;20
#;00000081.pro;Tough Lil Gecko;35;60;0;20;0;0;0;10;0;10;0;30;0;20
#;00000082.pro;Wild Dog;25;60;0;20;0;0;0;20;0;20;0;25;0;15
#;00000083.pro;Golden Gecko;45;135;2;25;2;0;0;20;0;10;0;30;0;20
#;00000084.pro;Deathclaw;225;750;6;25;4;10;4;20;4;20;4;20;6;20
#;00000085.pro;Deathclaw Spawn;60;150;0;20;0;20;0;20;0;10;0;30;0;10
#;00000086.pro;Tough Golden Gecko;65;210;2;25;0;20;0;20;0;10;0;30;0;20
#;00000087.pro;Lynette;45;300;0;0;0;0;0;0;0;0;0;0;0;0
#;00000088.pro;Dr. Troy;45;125;0;0;0;0;0;0;0;0;0;0;0;0
#;00000089.pro;John Cassidy;80;300;2;25;0;20;0;20;0;10;0;30;0;20
#;00000090.pro;Gregory;64;350;0;0;0;0;0;0;0;0;0;0;0;0
#;00000091.pro;Citizen (Female);50;100;0;0;0;0;0;0;0;0;0;0;0;0
#;00000092.pro;Citizen (Male);50;100;0;0;0;0;0;0;0;0;0;0;0;0
#;00000093.pro;Up Class Citizen (F);55;110;0;0;0;0;0;0;0;0;0;0;0;0
#;00000094.pro;Up Class Citizen (M);55;110;0;0;0;0;0;0;0;0;0;0;0;0
#;00000095.pro;Trapper;50;100;2;25;2;0;0;20;0;10;0;30;1;20
#;00000096.pro;Trapper;50;100;4;30;3;40;4;10;4;20;0;0;4;25
#;00000097.pro;Sulik;85;150;0;0;0;0;0;0;0;0;0;0;0;0
#;00000098.pro;Maida Buckner;33;60;0;0;0;0;0;0;0;0;0;0;0;0
#;00000099.pro;Torr;68;110;0;0;0;0;0;0;0;0;0;0;0;0
#;00000100.pro;Lumpy;35;70;0;0;0;0;0;0;0;0;0;0;0;0
#;00000101.pro;Reactor Glowing One;60;120;0;0;0;0;0;0;0;0;0;0;0;0
#;00000102.pro;Reactor Ghoul;40;80;0;0;0;0;0;0;0;0;0;0;0;0
#;00000103.pro;Reactor Guard;70;150;0;0;0;0;0;0;0;0;0;0;0;0
#;00000104.pro;Zomak;75;200;0;0;0;0;0;0;0;0;0;0;0;0
#;00000105.pro;Skeeter;40;80;0;0;0;0;0;0;0;0;0;0;0;0
#;00000106.pro;The Brain;80;250;2;25;0;20;0;20;0;10;0;30;0;20
#;00000107.pro;Lenny;129;130;0;0;0;0;0;0;0;0;0;0;0;0
#;00000108.pro;Wooz;75;160;0;0;0;0;0;0;0;0;0;0;0;0
#;00000109.pro;Harold;80;250;0;0;0;0;0;0;0;0;0;0;0;0
#;00000110.pro;Mole Rat;30;140;2;25;0;20;0;20;0;10;0;30;0;20
#;00000111.pro;Greater Mole Rat;50;200;2;25;0;20;0;20;0;10;0;30;0;20
#;00000112.pro;Pig Rat;9;50;0;0;0;0;0;0;0;0;0;0;0;0
#;00000113.pro;Tough Pig Rat;15;75;0;0;0;0;0;0;0;0;0;0;0;0
#;00000114.pro;Weak Brahmin;30;40;0;20;0;20;0;20;0;10;0;30;0;10
#;00000115.pro;A.Pwr.Armor (don't use);30;60;14;65;20;60;16;70;15;60;15;60;20;65
#;00000116.pro;Mutated Rat;20;80;2;25;0;20;0;20;0;10;0;30;0;20
#;00000117.pro;Mutated Mole Rat;72;300;4;30;4;10;4;10;4;20;4;10;4;25
#;00000118.pro;Mutated Pig Rat;26;90;2;25;0;20;0;20;0;10;0;30;0;20
#;00000119.pro;Super Mutant;100;350;5;40;5;40;4;30;4;50;2;50;6;40
#;00000120.pro;Powerful Mutant;110;425;8;40;7;50;7;50;7;60;6;60;8;40
#;00000121.pro;Melchoir;120;475;12;40;12;40;12;60;10;40;12;40;20;50
#;00000122.pro;Hero Andro (don't use);30;60;10;50;7;70;12;60;10;40;12;40;16;50
#;00000123.pro;Hero Andro (don't use);30;60;0;10;0;0;0;10;0;10;0;40;0;20
#;00000124.pro;Hero Male (don't use);30;60;0;0;0;0;0;0;0;0;0;0;0;0
#;00000125.pro;Hero Female (don't use);30;60;0;0;0;0;0;0;0;0;0;0;0;0
#;00000126.pro;Hero Male (don't use);30;60;2;25;2;0;0;20;0;10;0;30;1;20
#;00000127.pro;Hero Female (don't use);30;60;2;25;2;0;0;20;0;10;0;30;1;20
#;00000128.pro;Hero Male (don't use);30;60;4;30;3;40;4;10;4;20;0;0;4;25
#;00000129.pro;Hero Female (don't use);30;60;4;30;3;40;4;10;4;20;0;0;4;25
#;00000130.pro;Hero Male (don't use);30;60;0;20;0;0;0;10;0;10;0;30;0;20
#;00000131.pro;Hero Female (don't use);30;60;0;20;0;0;0;10;0;10;0;30;0;20
#;00000132.pro;Hero Male (don't use);30;60;6;40;4;25;4;30;4;50;2;50;6;40
#;00000133.pro;Hero Female (don't use);30;60;6;40;4;25;4;30;4;50;2;50;6;40
#;00000134.pro;Vault City Guard;63;210;6;40;4;25;4;30;4;50;2;50;6;40
#;00000135.pro;Vault City Guard;59;210;6;40;4;25;4;30;4;50;2;50;6;40
#;00000136.pro;Cyberdog;97;200;4;30;6;75;4;10;4;20;0;0;4;25
#;00000137.pro;NCR Guard;94;250;8;45;6;65;7;50;7;60;6;60;9;45
#;00000138.pro;NCR Guard;74;250;8;45;6;65;7;50;7;60;6;60;9;45
#;00000139.pro;NCR Melee Guard;78;175;4;35;2;10;2;30;2;20;2;40;2;30
#;00000140.pro;Slaver Guard;84;200;2;30;2;10;1;25;1;10;1;40;1;25
#;00000141.pro;Slaver Overseer;98;275;4;30;3;40;4;10;4;20;0;0;4;25
#;00000142.pro;Grand Master Trader;55;120;2;25;2;0;0;20;0;10;0;30;1;20
#;00000143.pro;Grand Master Trader;50;120;2;25;2;0;0;20;0;10;0;30;1;20
#;00000144.pro;Tandi;50;200;2;25;2;0;0;20;0;10;0;30;1;20
#;00000145.pro;Merc;61;170;0;0;0;0;0;0;0;0;0;0;0;0
#;00000146.pro;Ratch;57;140;0;10;0;10;0;10;0;0;0;10;0;0
#;00000147.pro;Skeeter;60;120;0;0;0;0;0;0;0;0;0;0;0;0
#;00000148.pro;Mikey;50;125;0;0;0;0;0;0;0;0;0;0;0;0
#;00000149.pro;NCR Bartender;75;150;0;20;0;0;0;10;0;10;0;30;0;20
#;00000150.pro;Shop Owner;65;100;0;0;0;0;0;0;0;0;0;0;0;0
#;00000151.pro;Gruthar;250;1200;12;40;12;40;12;60;10;40;12;40;20;50
#;00000152.pro;Goris;125;900;5;40;8;60;4;30;4;50;2;50;6;40
#;00000153.pro;Molerat Fighter;40;120;0;20;0;25;0;10;0;10;0;40;0;20
#;00000154.pro;Molerat Fighter;55;120;0;20;0;25;0;10;0;10;0;40;0;20
#;00000155.pro;Molerat Fighter;40;120;0;20;0;25;0;10;0;10;0;40;0;20
#;00000156.pro;Molerat Fighter;35;120;0;20;0;25;0;10;0;10;0;40;0;20
#;00000157.pro;Molerat Fighter;45;120;0;20;0;25;0;10;0;10;0;40;0;20
#;00000158.pro;Molerat Fighter;35;120;0;20;0;25;0;10;0;10;0;40;0;20
#;00000159.pro;Generic Ghoul;53;150;0;0;0;0;0;0;0;0;0;0;0;0
#;00000160.pro;Myron;70;100;0;0;0;0;0;0;0;0;0;0;0;0
#;00000161.pro;Marcus;130;475;4;30;4;30;4;10;4;20;4;10;4;25
#;00000162.pro;Doc Jones;55;100;0;20;0;25;0;10;0;10;0;40;0;20
#;00000163.pro;Davin;35;70;0;0;0;0;0;0;0;0;0;0;0;0
#;00000164.pro;Miria;35;70;0;0;0;0;0;0;0;0;0;0;0;0
#;00000165.pro;Laddie;20;60;0;0;0;0;0;0;0;0;0;0;0;0
#;00000166.pro;Rondo;80;150;2;25;2;0;0;20;0;10;0;30;1;20
#;00000167.pro;Ranch Hand;70;120;0;0;0;0;0;0;0;0;0;0;0;0
#;00000168.pro;Ranch Hand;73;130;0;0;0;0;0;0;0;0;0;0;0;0
#;00000169.pro;Ranch Hand;76;160;2;25;2;0;0;20;0;10;0;30;1;20
#;00000170.pro;Bouncer;70;200;2;35;2;10;0;20;0;10;0;30;0;20
#;00000171.pro;Bouncer;70;200;2;35;2;10;0;20;0;10;0;30;0;20
#;00000172.pro;Weak Mr. Handy;60;200;2;25;2;40;0;20;0;10;0;30;0;20
#;00000173.pro;Generic Glowing One;50;100;0;0;0;0;0;0;0;0;0;0;0;0
#;00000174.pro;Dar;200;900;6;25;4;10;4;20;4;20;4;20;6;20
#;00000175.pro;Dalia;70;160;4;30;3;40;4;10;4;20;0;0;4;25
#;00000176.pro;Gordon;74;180;0;20;0;25;0;10;0;10;0;40;0;20
#;00000177.pro;test (don't use);39;60;0;100;0;100;0;100;0;100;0;100;0;100
#;00000178.pro;Reactor Ghoul;40;80;0;0;0;0;0;0;0;0;0;0;0;0
#;00000179.pro;Generic Ghoul;53;150;0;0;0;0;0;0;0;0;0;0;0;0
#;00000180.pro;Matt;70;160;0;0;0;0;0;0;0;0;0;0;0;0
#;00000181.pro;B. Hunter Lead (1-6);60;150;0;20;0;0;0;10;0;10;0;30;0;20
#;00000182.pro;Bounty Hunter (1-6);50;100;0;20;0;0;0;10;0;10;0;30;0;20
#;00000183.pro;B. Hunter Lead (7-12);80;300;4;30;3;40;4;10;4;20;0;0;4;25
#;00000184.pro;Bounty Hunter (7-12);70;225;2;25;2;0;0;20;0;10;0;30;1;20
#;00000185.pro;Bounty Hunter (7-12);75;225;2;25;2;0;0;20;0;10;0;30;1;20
#;00000186.pro;B. Hunter Lead (13-18);100;500;6;40;4;25;4;30;4;50;2;50;6;40
#;00000187.pro;Bounty Hunter (13-18);85;400;6;40;4;25;4;30;4;50;2;50;6;40
#;00000188.pro;Bounty Hunter (13-18);90;400;6;40;4;25;4;30;4;50;2;50;6;40
#;00000189.pro;B. Hunter Lead (19-?);150;900;14;65;20;60;16;70;15;60;15;60;20;65
#;00000190.pro;Bounty Hunter (19-?);140;700;10;50;7;70;12;60;10;40;12;40;16;50
#;00000191.pro;Bess;35;80;0;20;0;20;0;20;0;10;0;30;0;10
#;00000192.pro;Balthas;50;120;2;25;2;0;0;20;0;10;0;30;1;20
#;00000193.pro;Grisham;43;110;0;10;0;10;0;10;0;10;0;10;0;10
#;00000194.pro;Phil;70;350;4;30;3;40;4;10;4;20;0;0;4;25
#;00000195.pro;Chicken;200;800;6;25;4;10;4;20;4;20;4;20;6;20
#;00000196.pro;Karl;40;60;0;0;0;0;0;0;0;0;0;0;0;0
#;00000197.pro;Jonny;26;30;0;0;0;0;0;0;0;0;0;0;0;0
#;00000198.pro;Jo;48;60;0;0;0;0;0;0;0;0;0;0;0;0
#;00000199.pro;Zeke;67;100;0;0;0;0;0;0;0;0;0;0;0;0
#;00000200.pro;Butcher;30;60;0;0;0;0;0;0;0;0;0;0;0;0
#;00000201.pro;Petey;25;35;0;0;0;0;0;0;0;0;0;0;0;0
#;00000202.pro;Primitive Hunter;40;60;0;0;0;0;0;0;0;0;0;0;0;0
#;00000203.pro;Primitive Hunter;35;60;0;0;0;0;0;0;0;0;0;0;0;0
#;00000204.pro;Cannibal;50;80;0;0;0;0;0;0;0;0;0;0;0;0
#;00000205.pro;Cannibal;47;80;0;0;0;0;0;0;0;0;0;0;0;0
#;00000206.pro;Holy Man;47;70;0;0;0;0;0;0;0;0;0;0;0;0
#;00000207.pro;Holy Woman;45;70;0;0;0;0;0;0;0;0;0;0;0;0
#;00000208.pro;Nomad- Low;55;75;0;20;0;0;0;10;0;10;0;30;0;20
#;00000209.pro;Nomad- Med;65;95;2;25;2;0;0;20;0;10;0;30;1;20
#;00000210.pro;Nomad- Low;50;75;0;20;0;0;0;10;0;10;0;30;0;20
#;00000211.pro;Nomad- Med;62;95;2;25;2;0;0;20;0;10;0;30;1;20
#;00000212.pro;Bandit;68;105;0;20;0;0;0;10;0;10;0;30;0;20
#;00000213.pro;Bandit;65;105;0;20;0;0;0;10;0;10;0;30;0;20
#;00000214.pro;Farmer;40;60;0;0;0;0;0;0;0;0;0;0;0;0
#;00000215.pro;Farmer;35;60;0;0;0;0;0;0;0;0;0;0;0;0
#;00000216.pro;Mantis;30;70;0;0;0;0;0;0;0;0;0;0;0;0
#;00000217.pro;Slaver;55;80;2;25;2;0;0;20;0;10;0;30;1;20
#;00000218.pro;Slaver;60;80;0;0;0;0;0;0;0;0;0;0;0;0
#;00000219.pro;Wild Brahmin;65;120;2;25;0;20;0;20;0;10;0;30;0;20
#;00000220.pro;Homesteader;70;180;0;0;0;0;0;0;0;0;0;0;0;0
#;00000221.pro;Homesteader;75;180;0;0;0;0;0;0;0;0;0;0;0;0
#;00000222.pro;Vault City Patrol;80;260;6;40;4;25;4;30;4;50;2;50;6;40
#;00000223.pro;Vault City Patrol;80;260;6;40;4;25;4;30;4;50;2;50;6;40
#;00000224.pro;Strong Slaver;50;150;0;20;0;0;0;10;0;10;0;30;0;20
#;00000225.pro;Strong Slaver;50;150;0;20;0;0;0;10;0;10;0;30;0;20
#;00000226.pro;Crazies;53;165;0;20;0;0;0;10;0;10;0;30;0;20
#;00000227.pro;Scavengers;57;165;0;20;0;0;0;10;0;10;0;30;0;20
#;00000228.pro;Glow Crazies;50;135;0;20;0;0;0;10;0;10;0;30;0;20
#;00000229.pro;Glow Scavengers;49;135;0;20;0;0;0;10;0;10;0;30;0;20
#;00000230.pro;Fisherman;40;80;0;0;0;0;0;0;0;0;0;0;0;0
#;00000231.pro;Fisherwoman;35;80;0;0;0;0;0;0;0;0;0;0;0;0
#;00000232.pro;Wilder;46;90;0;0;0;0;0;0;0;0;0;0;0;0
#;00000233.pro;Wilder;41;60;0;0;0;0;0;0;0;0;0;0;0;0
#;00000234.pro;Bootlegger;52;100;0;0;0;0;0;0;0;0;0;0;0;0
#;00000235.pro;Bootlegger;49;150;2;25;2;0;0;20;0;10;0;30;1;20
#;00000236.pro;Prospector;67;120;0;0;0;0;0;0;0;0;0;0;0;0
#;00000237.pro;Prospector;65;120;0;0;0;0;0;0;0;0;0;0;0;0
#;00000238.pro;Raider;60;130;2;25;2;0;0;20;0;10;0;30;1;20
#;00000239.pro;Raider;63;130;0;20;0;0;0;10;0;10;0;30;0;20
#;00000240.pro;Fire Gecko;70;250;5;40;6;40;20;500;4;50;2;50;6;40
#;00000241.pro;Tough Fire Gecko;80;260;5;40;8;60;20;500;4;50;2;50;6;40
#;00000242.pro;Alien;120;500;6;40;6;40;0;5;5;50;3;55;9;45
#;00000243.pro;Tough Alien;160;600;12;40;12;40;2;10;10;40;12;40;20;50
#;00000244.pro;Sm Tough Deathclaw;170;600;4;40;4;40;3;50;3;20;3;60;4;20
#;00000245.pro;Tough Deathclaw;310;1500;10;50;8;20;8;40;8;40;8;40;12;40
#;00000246.pro;Floater;175;750;5;40;5;40;0;0;4;50;0;500;6;40
#;00000247.pro;Nasty Floater;200;1000;8;40;8;40;2;10;7;60;0;500;8;40
#;00000248.pro;Centaur;150;650;4;35;4;20;4;15;4;25;1;10;4;30
#;00000249.pro;Mean Centaur;200;900;5;40;4;30;4;30;4;50;2;20;6;40
#;00000250.pro;Enclave Patrol;150;550;14;65;20;60;16;70;15;60;15;60;20;65
#;00000251.pro;Enclave Patrol;150;550;14;65;20;60;16;70;15;60;15;60;20;65
#;00000252.pro;Press Gang;70;350;0;20;0;0;0;10;0;10;0;30;0;20
#;00000253.pro;Press Gang;70;350;4;30;3;40;4;10;4;20;0;0;4;25
#;00000254.pro;Mercenary;80;400;0;20;0;0;0;10;0;10;0;30;0;20
#;00000255.pro;Mercenary;80;400;4;30;3;40;4;10;4;20;0;0;4;25
#;00000256.pro;Nightkin;130;500;2;25;2;0;0;20;0;10;0;30;1;20
#;00000257.pro;Tough Nightkin;150;650;2;25;2;0;0;20;0;10;0;30;1;20
#;00000258.pro;Tough Ghoul;65;200;0;0;0;0;0;0;0;0;0;0;0;0
#;00000259.pro;Mobster;70;200;2;30;2;10;1;25;1;10;1;40;1;25
#;00000260.pro;Yakuza;80;260;2;30;2;10;1;25;1;10;1;40;1;25
#;00000261.pro;NCR Ranger;95;250;6;40;4;25;4;30;4;50;2;50;6;40
#;00000262.pro;NCR Ranger;80;250;6;40;4;25;4;30;4;50;2;50;6;40
#;00000263.pro;Maurader;60;150;0;20;0;0;0;10;0;10;0;30;0;20
#;00000264.pro;Maurader;60;150;4;30;3;40;4;10;4;20;0;0;4;25
#;00000265.pro;Pretty Boy Lloyd;60;90;0;20;0;20;0;10;0;10;0;30;0;20
#;00000266.pro;Vorpal Rat;330;7500;500;100;500;100;500;100;500;100;500;100;500;100
#;00000267.pro;Vault 13 Man;30;60;0;0;0;0;0;0;0;0;0;0;0;0
#;00000268.pro;Vault 13 Woman;30;60;0;0;0;0;0;0;0;0;0;0;0;0
#;00000269.pro;Bridge Guardian;400;7500;200;100;200;100;200;100;200;100;200;100;200;100
#;00000270.pro;Mysterious Stranger;50;100;2;25;0;20;0;20;0;10;0;30;0;20
#;00000271.pro;Mysterious Stranger;52;100;2;25;0;20;0;20;0;10;0;30;0;20
#;00000272.pro;Hakeswill;70;225;0;0;0;0;0;0;0;0;0;0;0;0
#;00000273.pro;Big Jesus Mordino;65;150;0;20;0;0;0;10;0;10;0;30;0;20
#;00000274.pro;Dumar;40;100;0;0;0;0;0;0;0;0;0;0;0;0
#;00000275.pro;Mother Deathclaw;310;2000;12;40;12;40;12;60;10;40;12;40;20;50
#;00000276.pro;The Dragon;150;800;2;25;2;0;0;20;0;10;0;30;1;20
#;00000277.pro;Lo Pan;100;500;2;25;2;0;0;20;0;10;0;30;1;20
#;00000278.pro;Hubologist;80;350;0;20;0;25;0;10;0;10;0;40;0;20
#;00000279.pro;Hubologist;80;350;0;20;0;25;0;10;0;10;0;40;0;20
#;00000280.pro;Mysterious Stranger;70;100;3;25;1;20;1;25;1;10;1;40;1;25
#;00000281.pro;Mysterious Stranger;70;100;3;25;1;20;1;25;1;10;1;40;1;25
#;00000282.pro;Mysterious Stranger;90;100;4;35;4;20;4;15;4;25;4;20;4;30
#;00000283.pro;Mysterious Stranger;90;100;4;35;4;20;4;15;4;25;4;20;4;30
#;00000284.pro;Mysterious Stranger;110;100;6;40;5;40;5;35;5;50;3;55;9;45
#;00000285.pro;Mysterious Stranger;110;100;6;40;5;40;5;35;5;50;3;55;9;45
#;00000286.pro;Mysterious Stranger;130;100;12;40;12;40;12;40;10;40;12;40;20;50
#;00000287.pro;Mysterious Stranger;130;100;12;40;12;40;12;40;10;40;12;40;20;50
#;00000288.pro;Pres. Bodyguard;999;10000;20;70;20;80;20;70;20;70;15;20;20;70
#;00000289.pro;Deathclaw Egg;20;30;0;0;0;0;0;0;0;0;0;0;0;0
#;00000290.pro;Metzger;90;100;2;25;2;0;0;20;0;10;0;30;1;20
#;00000291.pro;Enclave Guard;200;750;14;70;25;70;16;70;18;60;15;65;20;70
#;00000292.pro;Enclave Guard;200;750;14;70;25;70;16;70;18;60;15;65;20;70
#;00000293.pro;President;120;1000;2;25;2;0;0;20;0;10;0;30;1;20
#;00000294.pro;Vice President;120;600;2;25;2;0;0;20;0;10;0;30;1;20
#;00000295.pro;Technicion;100;350;2;25;2;0;0;20;0;10;0;30;1;20
#;00000296.pro;Badger;110;450;2;25;2;0;0;20;0;10;0;30;1;20
#;00000297.pro;Dr. Fung;90;350;2;25;2;0;0;20;0;10;0;30;1;20
#;00000298.pro;Kid;26;30;0;0;0;0;0;0;0;0;0;0;0;0
#;00000299.pro;Kid;20;30;0;0;0;0;0;0;0;0;0;0;0;0
#;00000300.pro;Gun Merchant;110;550;6;40;4;25;4;30;4;50;2;50;6;40
#;00000301.pro;Shi Lab Tech;70;150;2;25;2;0;0;20;0;10;0;30;1;20
#;00000302.pro;Shi Guard;200;350;2;25;2;0;0;20;0;10;0;30;1;20
#;00000303.pro;Shi Peasant;70;150;0;0;0;0;0;0;0;0;0;0;0;0
#;00000304.pro;Shi Peasant;70;150;0;0;0;0;0;0;0;0;0;0;0;0
#;00000305.pro;Lo Pan Peasant;70;150;0;0;0;0;0;0;0;0;0;0;0;0
#;00000306.pro;Lo Pan Peasant;70;150;0;0;0;0;0;0;0;0;0;0;0;0
#;00000307.pro;Dock Worker;85;200;0;0;0;0;0;0;0;0;0;0;0;0
#;00000308.pro;Shi Merchant;55;60;0;0;0;0;0;0;0;0;0;0;0;0
#;00000309.pro;Keeng Ra'at;60;220;2;25;0;20;0;20;0;10;0;30;0;20
#;00000310.pro;Sulik - Stage 1;93;110;0;0;0;0;0;0;0;0;0;0;0;0
